Symbol,start_date,end_date,n_change,n_gain,gain_ratio,relative_change,date_trailing_end,t,t_gain_sign,t_gain_sign_ratio,t_relative_change,t_harmonic_mean,t_rank_harmonic_mean
ZEPP,2024-01-02,2025-08-15,406,180,0.44,4.88,2025-07-28,15,10,0.67,1.4705882352941178,2.5641,1
COMM,2024-01-02,2025-08-15,406,204,0.5,4.42,2025-07-28,15,9,0.6,0.9084507042253522,1.6503,2
WULF,2024-01-02,2025-08-15,406,197,0.49,2.9,2025-07-28,15,10,0.67,0.7567567567567566,1.407,3
FOSL,2024-01-02,2025-08-15,406,168,0.41,1.0499999999999998,2025-07-28,15,8,0.53,0.6666666666666665,1.2308,4
SNDX,2024-01-02,2025-08-15,406,200,0.49,-0.28,2025-07-28,15,10,0.67,0.6363636363636362,1.1966,5
MATV,2024-01-02,2025-08-15,406,199,0.49,-0.22999999999999998,2025-07-28,15,9,0.6,0.5098039215686274,0.9649,6
BW,2024-01-02,2025-08-15,406,182,0.45,0.06000000000000005,2025-07-28,15,8,0.53,0.49295774647887347,0.9287,7
SCS,2024-01-02,2025-08-15,406,199,0.49,0.29000000000000004,2025-07-28,15,7,0.47,0.48275862068965525,0.9032,8
HBI,2024-01-02,2025-08-15,406,193,0.48,0.43999999999999995,2025-07-28,15,7,0.47,0.4257425742574257,0.8027,9
SOUN,2024-01-02,2025-08-15,406,181,0.45,6.5,2025-07-28,15,7,0.47,0.38888888888888884,0.7368,10
AMPH,2024-01-02,2025-08-15,406,186,0.46,-0.52,2025-07-28,15,8,0.53,0.33333333333333326,0.64,11
PAY,2024-01-02,2025-08-15,406,193,0.48,1.1400000000000001,2025-07-28,15,11,0.73,0.3128834355828223,0.6085,12
APLD,2024-01-02,2025-08-15,406,195,0.48,1.02,2025-07-28,15,4,0.27,0.32894736842105265,0.6079,13
BE,2024-01-02,2025-08-15,406,205,0.5,2.07,2025-07-28,15,9,0.6,0.30084745762711873,0.5822,14
TARS,2024-01-02,2025-08-15,406,201,0.5,1.69,2025-07-28,15,10,0.67,0.2995169082125604,0.5816,15
CDE,2024-01-02,2025-08-15,406,206,0.51,2.65,2025-07-28,15,8,0.53,0.28521126760563376,0.5508,16
MBI,2024-01-02,2025-08-15,406,201,0.5,0.09000000000000008,2025-07-28,15,7,0.47,0.2823529411764707,0.5428,17
EBAY,2024-01-02,2025-08-15,406,224,0.55,1.3599999999999999,2025-07-28,15,9,0.6,0.2756756756756755,0.535,18
TILE,2024-01-02,2025-08-15,406,202,0.5,1.12,2025-07-28,15,9,0.6,0.2694610778443114,0.5233,19
UP,2024-01-02,2025-08-15,406,186,0.46,-0.53,2025-07-28,15,7,0.47,0.2702702702702702,0.5204,20
TPB,2024-01-02,2025-08-15,406,222,0.55,2.82,2025-07-28,15,10,0.67,0.26490066225165565,0.5161,21
CRNC,2024-01-02,2025-08-15,406,184,0.45,-0.38,2025-07-28,15,9,0.6,0.26530612244897966,0.5154,22
BBVA,2024-01-02,2025-08-15,406,228,0.56,1.2400000000000002,2025-07-28,15,11,0.73,0.258426966292135,0.505,23
GERN,2024-01-02,2025-08-15,406,176,0.43,-0.31999999999999995,2025-07-28,15,7,0.47,0.2592592592592593,0.5,24
RUN,2024-01-02,2025-08-15,406,191,0.47,-0.28,2025-07-28,15,4,0.27,0.26315789473684226,0.4938,25
GDOT,2024-01-02,2025-08-15,406,209,0.51,0.3700000000000001,2025-07-28,15,5,0.33,0.25688073394495414,0.4887,26
SLDP,2024-01-02,2025-08-15,406,182,0.45,2.78,2025-07-28,15,8,0.53,0.2516556291390728,0.488,27
LRN,2024-01-02,2025-08-15,406,209,0.51,1.65,2025-07-28,15,10,0.67,0.25,0.4878,28
CYD,2024-01-02,2025-08-15,406,208,0.51,2.63,2025-07-28,15,10,0.67,0.24742268041237114,0.4829,29
CIA,2024-01-02,2025-08-15,406,207,0.51,0.8700000000000001,2025-07-28,15,10,0.67,0.2466666666666668,0.4815,30
INCY,2024-01-02,2025-08-15,406,217,0.53,0.33000000000000007,2025-07-28,15,11,0.73,0.2429906542056075,0.4755,31
HUM,2024-01-02,2025-08-15,406,212,0.52,-0.38,2025-07-28,15,9,0.6,0.24,0.4675,32
KGC,2024-01-02,2025-08-15,406,228,0.56,2.33,2025-07-28,15,11,0.73,0.23333333333333317,0.457,33
EMBC,2024-01-02,2025-08-15,406,192,0.47,-0.22999999999999998,2025-07-28,15,6,0.4,0.22222222222222232,0.4286,34
CELH,2024-01-02,2025-08-15,406,189,0.47,-0.030000000000000027,2025-07-28,15,10,0.67,0.2124999999999999,0.4162,35
IDCC,2024-01-02,2025-08-15,406,220,0.54,1.5899999999999999,2025-07-28,15,7,0.47,0.21028037383177556,0.4083,36
CCSI,2024-01-02,2025-08-15,406,206,0.51,0.050000000000000044,2025-07-28,15,9,0.6,0.2068965517241379,0.4045,37
EZPW,2024-01-02,2025-08-15,406,197,0.49,0.8400000000000001,2025-07-28,15,8,0.53,0.20261437908496727,0.3952,38
BHC,2024-01-02,2025-08-15,406,206,0.51,0.07000000000000006,2025-07-28,15,8,0.53,0.202247191011236,0.3945,39
DINRF,2024-01-02,2025-08-15,406,48,0.12,-10.04,2025-07-28,15,3,0.2,0.20855614973262004,0.39,40
CHRW,2024-01-02,2025-08-15,406,206,0.51,0.44999999999999996,2025-07-28,15,8,0.53,0.19834710743801653,0.3871,41
TMCI,2024-01-02,2025-08-15,406,187,0.46,-0.44999999999999996,2025-07-28,15,8,0.53,0.19565217391304346,0.382,42
TER,2024-01-02,2025-08-15,406,205,0.5,0.050000000000000044,2025-07-28,15,8,0.53,0.19318181818181812,0.3773,43
JBLU,2024-01-02,2025-08-15,406,211,0.52,-0.010000000000000009,2025-07-28,15,7,0.47,0.19277108433734935,0.3752,44
APP,2024-01-02,2025-08-15,406,225,0.55,10.31,2025-07-28,15,10,0.67,0.18181818181818188,0.3571,45
INTC,2024-01-02,2025-08-15,406,195,0.48,-0.48,2025-07-28,15,9,0.6,0.18181818181818188,0.3564,46
TME,2024-01-02,2025-08-15,406,207,0.51,1.9500000000000002,2025-07-28,15,11,0.73,0.18000000000000016,0.3542,47
GLW,2024-01-02,2025-08-15,406,222,0.55,1.23,2025-07-28,15,10,0.67,0.17989417989418,0.3534,48
EFXT,2024-01-02,2025-08-15,406,215,0.53,1.1800000000000002,2025-07-28,15,8,0.53,0.17837837837837833,0.349,49
IAG,2024-01-02,2025-08-15,406,217,0.53,2.34,2025-07-28,15,10,0.67,0.176056338028169,0.346,50
MLNK,2024-01-02,2025-08-15,406,194,0.48,-0.15000000000000002,2025-07-28,15,4,0.27,0.18055555555555558,0.3455,51
TIMB,2024-01-02,2025-08-15,406,217,0.53,0.29000000000000004,2025-07-28,15,12,0.8,0.17272727272727262,0.3406,52
STNE,2024-01-02,2025-08-15,406,192,0.47,-0.12,2025-07-28,15,8,0.53,0.17333333333333334,0.3393,53
NGL,2024-01-02,2025-08-15,406,189,0.47,-0.09999999999999998,2025-07-28,15,8,0.53,0.16883116883116878,0.3307,54
HOG,2024-01-02,2025-08-15,406,189,0.47,-0.21999999999999997,2025-07-28,15,6,0.4,0.16417910447761197,0.3196,55
HCA,2024-01-02,2025-08-15,406,234,0.58,0.44999999999999996,2025-07-28,15,14,0.93,0.15999999999999992,0.3164,56
BWA,2024-01-02,2025-08-15,406,216,0.53,0.17999999999999994,2025-07-28,15,8,0.53,0.1568627450980391,0.3077,57
IDXX,2024-01-02,2025-08-15,406,198,0.49,0.18999999999999995,2025-07-28,15,8,0.53,0.15533980582524265,0.3048,58
LNC,2024-01-02,2025-08-15,406,224,0.55,0.6399999999999999,2025-07-28,15,9,0.6,0.15492957746478875,0.3046,59
TLK,2024-01-02,2025-08-15,406,193,0.48,-0.18000000000000005,2025-07-28,15,8,0.53,0.15492957746478875,0.304,60
AIZ,2024-01-02,2025-08-15,406,219,0.54,0.28,2025-07-28,15,8,0.53,0.15315315315315314,0.3006,61
GILT,2024-01-02,2025-08-15,406,185,0.46,0.41999999999999993,2025-07-28,15,4,0.27,0.15447154471544722,0.2975,62
EA,2024-01-02,2025-08-15,406,221,0.54,0.30000000000000004,2025-07-28,15,11,0.73,0.15044247787610643,0.2968,63
UHS,2024-01-02,2025-08-15,406,216,0.53,0.1499999999999999,2025-07-28,15,10,0.67,0.1499999999999999,0.2956,64
VTRS,2024-01-02,2025-08-15,406,197,0.49,0.0,2025-07-28,15,9,0.6,0.14942528735632177,0.294,65
AMWD,2024-01-02,2025-08-15,406,192,0.47,-0.31000000000000005,2025-07-28,15,7,0.47,0.1499999999999999,0.2937,66
ETHE,2024-01-02,2025-08-15,406,205,0.5,1.0899999999999999,2025-07-28,15,8,0.53,0.14835164835164827,0.2913,67
SVRA,2024-01-02,2025-08-15,406,192,0.47,-0.30000000000000004,2025-07-28,15,9,0.6,0.14754098360655732,0.2903,68
BTG,2024-01-02,2025-08-15,406,199,0.49,0.3400000000000001,2025-07-28,15,11,0.73,0.14529914529914545,0.2868,69
FET,2024-01-02,2025-08-15,406,204,0.5,0.040000000000000036,2025-07-28,15,9,0.6,0.1428571428571428,0.2812,70
CVS,2024-01-02,2025-08-15,406,213,0.52,-0.09999999999999998,2025-07-28,15,11,0.73,0.139240506329114,0.275,71
AAL,2024-01-02,2025-08-15,406,202,0.5,-0.020000000000000018,2025-07-28,15,8,0.53,0.13953488372093026,0.2743,72
U,2024-01-02,2025-08-15,406,199,0.49,-0.020000000000000018,2025-07-28,15,8,0.53,0.13953488372093026,0.2743,72
IX,2024-01-02,2025-08-15,406,214,0.53,0.3999999999999999,2025-07-28,15,11,0.73,0.1382113821138211,0.273,74
DDD,2024-01-02,2025-08-15,406,169,0.42,-0.6699999999999999,2025-07-28,15,6,0.4,0.13793103448275867,0.2697,75
LEN,2024-01-02,2025-08-15,406,203,0.5,-0.06000000000000005,2025-07-28,15,9,0.6,0.1325301204819278,0.2612,76
DHI,2024-01-02,2025-08-15,406,206,0.51,0.1200000000000001,2025-07-28,15,10,0.67,0.1313131313131315,0.2592,77
RCKY,2024-01-02,2025-08-15,406,194,0.48,-0.050000000000000044,2025-07-28,15,6,0.4,0.13095238095238093,0.2563,78
CEE,2024-01-02,2025-08-15,406,207,0.51,0.8400000000000001,2025-07-28,15,8,0.53,0.128834355828221,0.2536,79
ARQT,2024-01-02,2025-08-15,406,201,0.5,3.92,2025-07-28,15,10,0.67,0.12844036697247696,0.2536,79
SOFI,2024-01-02,2025-08-15,406,211,0.52,1.46,2025-07-28,15,9,0.6,0.12844036697247696,0.2533,81
MUFG,2024-01-02,2025-08-15,406,224,0.55,0.8600000000000001,2025-07-28,15,8,0.53,0.12727272727272743,0.2506,82
CLS,2024-01-02,2025-08-15,406,231,0.57,5.91,2025-07-28,15,8,0.53,0.1272430668841762,0.2505,83
LAUR,2024-01-02,2025-08-15,406,220,0.54,0.96,2025-07-28,15,9,0.6,0.12643678160919536,0.2494,84
ITUB,2024-01-02,2025-08-15,406,194,0.48,0.25,2025-07-28,15,9,0.6,0.12612612612612595,0.2488,85
MTCH,2024-01-02,2025-08-15,406,204,0.5,0.07000000000000006,2025-07-28,15,5,0.33,0.12631578947368438,0.2464,86
PLTR,2024-01-02,2025-08-15,406,220,0.54,9.69,2025-07-28,15,7,0.47,0.12289915966386555,0.2416,87
ARIS,2024-01-02,2025-08-15,406,223,0.55,1.8599999999999999,2025-07-28,15,7,0.47,0.1215686274509804,0.239,88
ALKS,2024-01-02,2025-08-15,406,196,0.48,0.020000000000000018,2025-07-28,15,10,0.67,0.1208791208791209,0.2389,89
AMCX,2024-01-02,2025-08-15,406,199,0.49,-0.63,2025-07-28,15,8,0.53,0.1212121212121211,0.2388,90
MFG,2024-01-02,2025-08-15,406,212,0.52,0.95,2025-07-28,15,9,0.6,0.1206896551724137,0.2382,91
MO,2024-01-02,2025-08-15,406,232,0.57,0.78,2025-07-28,15,12,0.8,0.11949685534591192,0.2366,92
GCI,2024-01-02,2025-08-15,406,193,0.48,0.78,2025-07-28,15,7,0.47,0.11949685534591192,0.235,93
EGO,2024-01-02,2025-08-15,406,223,0.55,0.81,2025-07-28,15,9,0.6,0.1172839506172838,0.2316,94
LYFT,2024-01-02,2025-08-15,406,190,0.47,0.1499999999999999,2025-07-28,15,9,0.6,0.11650485436893199,0.23,95
AMKR,2024-01-02,2025-08-15,406,204,0.5,-0.22999999999999998,2025-07-28,15,9,0.6,0.11594202898550732,0.2289,96
